"UID","Name","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dp42","Global Biodiversity Information Facility","Records provided by Global Biodiversity Information Facility, accessed through ALA website.","","For more information: http://collections.ala.org.au/public/show/dp42","","","","1"
"dr893","BowerBird","Records provided by BowerBird, accessed through ALA website.","The rights of material uploaded by users to the BowerBird website are owned by those users. Each user will nominate the type of license that can apply to their content - BowerBird encourages the Creative Commons License but users have the right to deny use of their content. Please respect the license wishes of the user's content.

For all other material, including the content, design and source code of BowerBird other than user-contributed material, is under the Open Source and Creative Commons licenses. You may use this material.","For more information: http://collections.ala.org.au/public/show/dr893","","","","1"
"dp52","Questagame","Records provided by Questagame, accessed through ALA website.","","For more information: http://collections.ala.org.au/public/show/dp52","","","","2"
"dr364","Individual Sightings","Records provided by Individual Sightings, accessed through ALA website.","Creative Commons Attribution 3.0 Australia (CC BY)","For more information: http://collections.ala.org.au/public/show/dr364","","","","23"
"dp31","Citizen Science - ALA Website","Records provided by Citizen Science - ALA Website, accessed through ALA website.","","For more information: http://collections.ala.org.au/public/show/dp31","","","","23"
"dr368","OEH Atlas of NSW Wildlife","Biodiversity occurrence data provided by the Atlas of New South Wales Wildlife, a resource owned by the State of New South Wales which holds data from a number of custodians including the Office of Environment and Heritage, Department of Premier and Cabinet (OEH), the National Herbarium of NSW, Forests NSW, the Australian Museum and the Australian Bird and Bat Banding Scheme. (Accessed through ALA Data Portal,<Date of Access>).","The Atlas of NSW Wildlife (Atlas) is administered by the Office of Environment and Heritage, Department of Premier and Cabinet (OEH). Distribution of Atlas data is governed by OEH's Sensitive Species Data Policy. For species categorised as sensitive, some or all locational information will not be disclosed depending on the species' status under the Policy (refer to the Sensitive Species Data Policy for full details  http://www.environment.nsw.gov.au/policiesandguidelines/SensitiveSpeciesPolicy.htm)
In downloading Data from the Atlas of NSW Wildlife (the Data) via the ALA portal, you, the user, agree to accept the Terms and Conditions below. Your acceptance creates a binding legal agreement between you and the Office of Environment and Heritage, Department of Premier and Cabinet (OEH) that administers the Atlas of NSW Wildlife. If you do not agree with these Terms and Conditions, do not download Atlas of NSW Wildlife Data from the ALA portal.
Terms and Conditions of Use:
You are licensed to use, reproduce, distribute, publish or otherwise make available the Data, or to use or adapt the Data to create derivative works. 
In any reproduction, distribution or publication of the Data, you must attribute the source of the Data as the Atlas of NSW Wildlife, a resource owned by the State of New South Wales that holds data from a number of custodians including OEH, the National Herbarium of NSW, Forests NSW, the Australian Museum and the Australian Bird and Bat Banding Scheme. 
In any use or adaptation of the Data to create derivative works, you must acknowledge the use of the Data in the derivative work and attribute the source of the Data as the Atlas of NSW Wildlife, a resource owned by the State of New South Wales that holds data from a number of custodians including OEH, the National Herbarium of NSW, Forests NSW, the Australian Museum and the Australian Bird and Bat Banding Scheme. 
You acknowledge that the Data may contain errors and omissions and that you employ the Data at your own risk.
Neither OEH nor any other Data Custodian will accept liability for any loss, damage, cost or expenses that you may incur as a result of the use of or reliance upon the Data. 
Data in the Atlas of NSW Wildlife is constantly updated and you should use the current Data from the ALA portal and not rely on material you have previously printed or downloaded.","For more information: http://collections.ala.org.au/public/show/dr368","","","","46"
"dp34","Office of Environment and Heritage, Department of Premier and Cabinet representing the State of New South Wales","Records provided by Office of Environment and Heritage, Department of Premier and Cabinet representing the State of New South Wales, accessed through ALA website.","","For more information: http://collections.ala.org.au/public/show/dp34","","","","46"
"dp29","Flickr","Records provided by Flickr, accessed through ALA website.","","For more information: http://collections.ala.org.au/public/show/dp29","","","","12"
"dr2008","ACT Wildlife Atlas","Data supplied by the ACT Environment & Planning Directorate 2015","Creative Commons Attribution 3.0 Australia (CC BY)","For more information: http://collections.ala.org.au/public/show/dr2008","","Some sensitive records have been withheld.","","630"
"dr695","GBIF records","Citation is at record level","Rights is at record level","For more information: http://collections.ala.org.au/public/show/dr695","","","","1"
"dr1902","Questagame weekly feed","Records provided by Questagame weekly feed, accessed through ALA website.","","For more information: http://collections.ala.org.au/public/show/dr1902","","","","2"
"dr1411","iNaturalist","Records provided by iNaturalist, accessed through ALA website.","Owner grants GBIF a worldwide, non-exclusive right to: (i) use, reproduce, perform, display, archive, transmit and distribute the Content (including any trademarks, tradenames and logos in the Content) in electronic form in connection with the Site, (ii) allow users of the Site to use, search, copy, download and transmit the Content, and (iii) modify and reformat the Content, but solely to the extent necessary and for the purposes of: (a) conforming to the format and ""look and feel"" of the Site, and (b) creating snippets, headlines or teasers consisting of selected lines or sections from the Content to be displayed on the Site (or displayed on other websites owned by GBIF for the purposes of directing traffic to the Site).","For more information: http://collections.ala.org.au/public/show/dr1411","","","","9"
"dr360","Encyclopedia of Life Images - Flickr Group","Citation is at the individual image","Creative Commons, varies with individual images","For more information: http://collections.ala.org.au/public/show/dr360","","","","12"
